tweet,length,label
 We understand your pain they never issues such statements against terrorists and Pakistan sponsored attacks They never condemn ISI Taliban Their only goal is to change to demography of country slowly and rule it like Gazwae Hind,233,1
 ISI directed terrorists groups to intensify attacks in JampK support infiltration bids  BLA attack Chinese nationals in Pakistan  TTP sympathize with BLAs sacrifice  TTP already carrying out attacks Now Baloch Rebels vows to intensify attacks Waiting for SRA,270,1
 That was a terrorist plan from pakistan  ISI,45,1
FREE BALOCHISTANthey are FREEDOM FIGHTERS like Ur Terrorist Agency ISI says about AntiIndia Jihadi Terrorists in KASHMIR,130,1
 FREE BALOCHISTANthey are FREEDOM FIGHTERS like Ur Terrorist Agency ISI says about AntiIndia Jihadi Terrorists in KASHMIR,131,1
ISI is tracing the terrorists behind karachi university attack and they will be punished soon  ,95,0
 Isi did this Pakistani army should do surgical strike on ISI isi is terrorist organizations,93,1
  Sirajuddin   a terrorist with ISI  leading Taliban GOV Pig is Evil man not Khalifa amp Cant read Quranhis suicide bomber recent killing happening by Sirajuddin Pakistani amp Taliban32 million Afghans get up amp  fight backAttack Taliban is not Afghans,263,1
 Sirajuddin   a terrorist with ISI  leading Taliban GOV Pig is Evil man not Khalifa amp Cant read Quranhis suicide bomber  all killing happening by Sirajuddin Pakistani amp Taliban32 million Afghans get up amp  fight backAttack Taliban is not Afghans,260,1
02 soldiers embraced martyrdom when terrorists fired upon security forces in    forces initiated a prompt response  During exchange of fire LNk Umar Ali Khan amp Sep Muhammad SirajudDin fought gallantly embraced martyrdom 12       ,241,0
   Ola has higher rate of blast than any other terrorist organisation Bhai competition laga hai kya tumhara aur ISI ka sabse jada blast kon karega  But on serious note do something  i was going to buy your scooter ,218,1
 ISI sponsored terrorist groups using different names to claim attacks in Kashmir since Pakistan is on the Grey List of FATF for many times in row Pakistan knows that if they allow LET Hizbul and JaishEMuhammed to claim attacks then they will be more likely to be on the black,281,1
First karachi blast now terrorist attack in Waziristan Whats happening Its a wake up call for every everyone specially our Beloved Army and ISI its a request please control them we love you ,199,0
 You People celebrated since 1989 every attacks had happened in Jammu kashmir and in india through Pakistani Mujahid din and other terrorist groups trained by ISI Now its returned in your country Definitely some indian enjoying as you were enjoyed But not all remember this,277,1
 I dont think people confuse terrorists with Baloch students I think we have all learned the  is no ones friend Dont worry so much Im sure there wont be a crackdown at large   will find the culprits Too many are watching closely now,238,0
 Isi bahane duniya ko pata chala ki pakistan me bhi university haionly terrorist camp nahi haithanks BLA,106,1
 Intl acclaimed terrorist Isi Ewu amp Pepper Soup    Come what may this Zoological Republic must be defeated   Cowardly soldiers that turn tail at sight of Bandits amp BH but flex their grasshopper muscles massacring innocent ppl,233,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement  Twenty female workers and more than a hundred workers named fifty JSFM workers have been forcibly disappeared by ISI Sohail Abro Chairman JSFM    ,242,1
 ISI is only intelligence agency in the world capable of creating suicide bombers Pakistan is a terrorist state,113,1
  Pakistan is a terrorist state ISI is only intelligence agency capable of creating suicide bombers,101,1
 Pakistan is a terrorist state ISI is only intelligence agency capable of creating suicide bombers,100,1
 Sahi karti hai Hamari Pak Armyjo in balocho ki gand martey haiye hai hi isi qabilsarey missing baloch terrorist haikill all these bastards,157,0
  ISI chief is focusing on bringing Hamza into power He has left Pakistan at the mercy of PDM allies BLA terrorists Shame,124,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement   20 female workers amp more than a hundred workers named 50 JSFM workers have been forcibly disappeared by ISI Sohail Abro Chairman      ,235,1
 DG ISI busy in last ball while the terrorists are roaming around Both COAS and DG ISI should immediately resign,114,1
ArmyISI doing everything but protecting the country Terrorist attack Chinese nationals Shitty graphics of  displaying him as wannabe Imran khan Their priorities are so wrong God help this country     ,204,1
 You are using a wrong picture USA with isi funded terrorism and trained the terrorist,88,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro Chairman Jeay Sindh Freedom Movement  ,262,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro Chairman Jeay Sindh Freedom Movement    ,264,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro Chairman      ,238,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  Sohail Abro  Chairman      ,239,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  GHussain Shabrani GSJSFM        ,247,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  GHussain Shabrani GSJSFM        ,247,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  GHussain Shabrani GSJSFM        ,247,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISI  GHussain Shabrani GSJSFM        ,247,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jai Sindh Freedom Movement Twenty female workers and more than a hundred workers namedfifty JSFM workers have been forcibly disappeared by ISISohail Abro Chairman JSFM         ,245,1
Pakistani Terrorist Intelligence ISI and MI register coup FIR on Jeay Sindh Freedom Movement  Twenty female workers and more than a hundred workers named fifty JSFM workers have been forcibly disappeared by ISISohail Abro Chairman JSFM       ,245,1
The presence of  terrorists in  has also rung alarm bells among the Central amp state intelligence agencies who are now trying to know about the involvement of the  network a dreaded terror group having close ties with the  pumping terrorists into ,251,0
With the killing of two  foreign terrorists in the  encounter on April 22 intel agencies suspect that the attack may be a handiwork of the  with the help of the  network which operates mostly in eastern Afghanistan and northwestern   ,236,0
ISI and Haqqani network suspected to be behind the Jammu attack a new terrorist organization is growing in the valley        ,126,1
   She also think Terrorist Taliban are for renewable future   she is the one who invited those terrorists to Oslo and rolled out  red carpet for them   Never trust parrots of evil CIA that call ISIISIS an ally,216,0
As Dy CM named hv funding to Depart Sex Trades as also Local UKGULFRASSIA Intel hv chains to condemning civilians who nt provided Money to Prostitutes amp also Dress Codes sell to Terrorists in 50cr as Vague Khaki fr ISIBright fr some Literated amp Ground khaki to Gawty ,281,1
   ISIISIS is the terrorist child of CIA that with ONE wink got rid of Imran Khan idiot Khan,94,1
Andy Vermaut sharesISI and Haqqani network suspected to be behind the Jammu attack a new terrorist organization is growing in the valley  of   Thank you     ,161,1
   PAKISTAN IS FOR THE ARMY BY THE ARMY AND OF THE ARMY ON OTHER HAND PAKISTAN IS FOR THE ISI BY THE ISI AND OF THE ISIS also PAKISTAN IS FOR THE TERRORIST BY THE TERRORIST OF THE TERRORIST,191,1
After the establishment of  rule in  there were apprehensions that the terrorists may be diverted to  by the  due to dipping local recruitment in the   ,152,0
With the killing of two  foreign terrorists in  encounter on April 22 intelligence agencies suspect that the attack may be a handiwork of the  with the help of  network     ,175,0
 Why drag Soros into these Islamic terrorist ISI tools,55,1
With the killing of two  foreign  in  encounter on April 22 intelligence agencies suspect that the attack may be a handiwork of the ISI with the help of  network       ,170,1
 The trap backfired with the rise of Al Qaeda and other terrorist organizations as well as the ISI,100,1
  Fighting to protect the interests of corrupt Jamiat politicians is NOT fight for freedom or fighting terrorism Apparently he forgets Mujahiddin were created by Paki ISI the same as Talibs in this case both are terrorists discriminating among two terrorist group is not fair,280,1
 How can hindus or muslims be peace loving people they are both so violent its no longer hindu or muslim its terrorism its RSS and ISI whu are stronger terrorist i dnt think these two religions are peace loving anymore ,239,0
Yet another revelation of the  infighting and ISIs directive to have this terrorist syndicate within their control Their leader is nonexistent and their stooges are taking orders from their masters in ,203,1
Assam Police arrests 16 persons including absconding Bangladeshi terrorist  ThePrint Guwahati Assam India April 25 ANI Assam Police has so far  He also said that Ansarul Bangla Team ABT has supported AlQaeda and ISI    ,236,1
While TB terrorists are celebrating and romanticizing their notorious one eyed leaders death anniversary his elusive death by ISIs hand and his close cronies is not surprising at all,183,1
Mohsin DawarFazlur Rehman Mahmood Achakzai and other traitors who called Pakistan Army Air Force and ISI terrorists and called them terrorists are going on a tour of Saudi Arabia with Shahbaz Sharif  The United States has slapped the 220 million people of Pakistan in the face,280,0
Pakistani terrorist intelligence Rangers amp ISI have forcibly disappeared one and a half hundred workers That includes women innocent children and political workers It may be recalled that a rally of JSFM was held in Sun City today on the occasion of the anniversary of GM Syed  ,285,1
Mohsin Dawar Fazlur Rehman Mahmood Achakzai and other traitors who called Pakistan Army Air Force and ISI terrorists and called them terrorists are going on a tour of Saudi Arabia with Shahbaz Sharif How bad it is with Pakistan no one thought ,248,0
Take it from Sediq who tells you who should your role model really be not some terrorist who had no physical presence in Afghanistan or a fanatic who was so alien to Afghans that no one saw his face not an ISI agent whose puppet followers have sworn allegiance to Pakistan,280,1
More then 150 activists have been kidnapped by terrorists belonging to  ISI amp   Pakistani state sponsored terrorism continues unabated in Pakistan occupied        ,167,1
Pakistani terrorist intelligence ISI and MI have forcibly disappeared one and a half hundred workersThat includes women innocent children and political workers  It may be recalled that a rally of JSFM was held in Sun City today        ,238,1
Pakistani terrorist intelligence Rangers amp ISI have forcibly disappeared one and a half hundred workers That includes women innocent children and political workers It may be recalled that a rally of JSFM was held in Sun City today on the occasion of the anniversary of GM Syed  ,285,1
Pakistani terrorist intelligence ISI and MI have forcibly disappeared one and a half hundred workersThat includes women innocent children and political workers  It may be recalled that a rally of JSFM was held in Sun City today        ,238,1
Mohsin DawarFazlur Rehman Mahmood Achakzai and other traitors who called Pakistan Army Air Force and ISI terrorists and called them terrorists are going on a tour of Saudi Arabia with Shahbaz Sharif  The United States has slapped the 220 million people of Pakistan in the face,280,0
Next 6 months   ArmyISI will send Terrorists heavily to  to disturb present ongoing development in JampK Pakistan  Govt will also last for 6 Months Already Bagawat Ki Jungstarted inside d Govt n its Grand alliance parties   ,231,1
 Ye log degree nhi lekar aaate hai  ye log Jahar lekar aate Bhart ke khilaf ya ISI agent ya sleeper cell ban jaate Terrorists group ke liye,142,1
 Your comment on Kashmir Files was really disgusting Dcompany and ISI funded pseudosecular terrorists like you and your husband are the most dangerous threat for Bharat,175,1
 Jnb wo lait chuky hain isi liye Imran Khan ko terrorist se mila dia he chwl k putr ny,86,1
  Islamic Barbarity of Pak terrorists of LET amp JEM promoted by Pak Army and ISI hv caused mayhem in Kashmir  If u were really loving Kashmiris u wd nt hv done this Following Jinnah  Taliban moving away terrorists from Pak border Report  ,245,1
 Terrorist attacks with tragic consequences for civilians belonging to Afghan Hazara and Shia community only serve the mad ideological interests of ISKP But the Taliban could not deliver the security they promised It seems that Another ISI proxy war is underway,265,1
   ShiaHazara community an ethnic and religious minority frequently targeted by the Islamic State of Khorasan ISISK funded by ISI a Sunni terrorist group     ,165,1
   Yes imran was a good leader But Pakistan has a history of being governed internally by isi and the Army If that problem clears then both India and Pakistan can work together to fight those terrorists in Pak and find a solution to Kashmir diplomatically,260,1
  ShiaHazara community an ethnic and religious minority frequently targeted by the Islamic State of Khorasan ISISK funded by ISI a Sunni terrorist group    ,163,1
     Abe ye janhannamjannat loda lassan kuch nahi hotaIsi chakkar me kaee chutiye terrorist ban jate hai,111,0
 Taliban terrorists does not have any intellligence office it is ISI of NaPakistan which has Taliban terrorists leadeship and direct them for war crimes genocide Afghanistan ppl with US UK supports,197,1
  Its clear that Ilhan is being funded by terrorist organisations including Pakistan ISI She was in Pakistan to promote antiIndia activities And was sent by the US administration ie democrats Kamla Harris Joe Biden,221,1
 Kuch time bad yeh log yeh boly gay ka palestine waly terrorists ty isliya unko mara jata ha imran khan isi liya tm jasy gadho ko gulami se nilkna chahta ha taka galat ko galat ur sahi lo sahi kaho gulami na karo lakin nahi gadhy hamesha gadhy hi rehty hain,257,1
  Altqqaiya krne wale brain dead jihadi zombie se kya bahas karun Ja k madarson Islamic terrorists aur unk sympathizers ko samjha ki koi qayamat ka din nhi ana hai koi 72 hoor amp zannat nhi milni hai Islie hansi khushi isi duniya me rhe suicide bomber bn k logo ko na mare,281,1
  Sirajuddin   a terrorist with ISI  leading Taliban GOV Pig is Evil man not Khalifa amp Cant read Quranhis suicide bomber  all killing happening by Sirajuddin Pakistani amp Taliban32 million Afghans get up amp  fight backAttack Taliban is not Afghans,261,1
 Did he build state like Reza Khan Did he defeat foreign occupation like Ataturk Did he do anything to unite the ppl of Afg or at least the Pashtuns No he was a  on ISIs payroll who defected to Arabs for money lost his fiefdom to their cause amp died a runaway thug,274,1
 o alaklarn ii terror zaten  delikanl olsalar sava meydanndan kamazlard  kahpe terrorist ermeniler,98,0
 Before the killings they did in march the house of a very wealthy man a philanthropist in d community call isi bu mba was set ablaze by these terrorists They alleged that he placed a camera to be monitoring the in d street lights he provided for the community can i imagine,279,0
  2002 main bhi wahi Radical Islamic terrorism tha uss ka naam paata hai tuje Haji Bilal jo Pakistani isi se funded tha yahi sachi hai Gujarat ke Radical Islamic terrorists ki samja na ya gyan rana Ayub ne diya hai tuje wo madarsha main dena ,242,1
 They are worshiping this terrorist like a God Damn    boro Afghanistan eqa khosh dari e wahshiya wa mozdor isi ra,118,1
  Nai mra Muslim hai   To islamiyat mar chuki hai  Q k islamiyat mar chuki hai isi liye Muslims ka khoon itna sasta ho gya hai    Afsoos    Or ab report bny gi ye b terrorist tha,182,0
 Indian Media is more dangerous then ISI At least ISI is radical islam terrorist but Indian media is termite Did anyone asked for Bengal violence comment from this TMC ,171,0
1999 yl Kartala deplasmana gitmitik 2 otobs 4 Sakarya taraftar gelmiti maa ii gc brakp Sakaryadan Helaliniz var kardeim,124,1
Imagine living in a hopeless country where ur only option is to either sell ur body to flesh traders or terrorist orgs Waves and waves of such ppl hv bn hitting our borders 2 days ago Ex NSA of Afghanistan hd warned abt ISI readying Afghans for more such missions,266,1
     Ye bhagwe terrorist khule aam hathiyaar liye aam logo ko dara rahe hai julm kar rahe hai or koi dekhne sunne wala nahi hai  Par agar isi julm k khilaf musalmano ne hathiyaar utha liya to inhe Islamic terrorism yad aa jaega,230,1
 MadeinPakistan TalibanHaqqani terrorists cant clean their shit without Pakistans ISI permission ,102,1
 This Muslim guy from tamilnadu is asking for plebiscite in     this agent is having so much hatred for Indian sovereignity  This can be ISI sleeper cell or potential terrorist organisation        ,197,1
   What about Genocide of Balochi and persecution of minorities in Pakistan  What about sponsoring of terrorism by ISI in Kashmir Pakistan has a record number of terrorist organizations and you are known worldwide for this while India is seen positively  ,259,1
US commission on Intl Religious Freedom is an  body operating on global scale having Isi ties Its funded by chrislamocommies from Pakistan China Burma Christian and Islamic bodies that honor terrorists responsible for genocide of Bengalis   ,247,1
    You might be aware that there are many muslim organizations in India which are more loyal to terrorists ISI and our enemies I have seen it myself some muslims praising Pakistan and wishes for riots and unrests in India You wont see it coming the flag bearers of secularism,283,1
 When will Islamist Extremist Ethnic Bigot  terrorist Isi Ewu and Pepper Soup  amp DSS get tired of killing Igbos  Are they not tired of their false flag terrorist operations that kill amp maim innocent ppl  All these in futile effort to taint IPOBESN,258,1
 Root of all evil and suffering of our people He was the Pakistani ISI agent number 1 and responsible for many terrorist activities that took innocent lives No Afghan truly misses him and hope the rest of your regime faces same fate inshAllah,245,1
Within a week from Sindh Eight Political Activists were Forcibly Disappeared by Pakistani Terrorist Intelligence ISI and MI   ,128,1
Within a week from Sindh Eight Political Activists were Forcibly Disappeared by Pakistani Terrorist Intelligence ISI and MI   ,128,1
 Baat tum par aayi to saare brahmano ko kyo le aaye bewkoof nalayak Isi tara desh ke rapist and terrorist bhi apne ko bachaane k liye bhagwa cholaa odhte hai Lekin main sirf aaropi ko galat bolta hoon uske baap ko bhi nahi  ,224,1
First Ramadan that more than 500 Afghan civilians were killed by Talibans operational partners ie ISKP Although Taliban terrorists previously bombed many mosques schools universities amp hospitals Afghans urge Intl not to recognise terrorists ,252,1
 Anti Indian they are isiterrorist,39,1
  First terrorist in india is Hindu Rajiv gandi ko marne wala os hindu Naxals are hindus LTTE arw hindus Sadvi pragya  is hindu Dhruv Saxena and Mohit Agarwal are hindus isi agent Baki google kar liyo,202,0
    G aap ki baat bhi sai hai  Laikin terrorist Taliban training Apne Suicide Bombers ko isi Cheez ki dete hain ke Ham Sahi hain Wo Log Ghalat   Tum Bomb blast karo gey to seedha Jannat main jao ge or Wo jahannm main  Haalanke Mrney or Maarney waaley donoon Muslim hote ,273,0
PakArmy with Air support of PAF is busy in combing operation  against TTP terrorists operating from Afghanistan Khost  As per details PakArmy crossed border to clear TTP influence areas operation is underway,207,0
  Well its just a fact Pakistan supports terrorism organizations such as Lashkaretoiba JaisheMuhammad who killed thousands of innocents in Kashmir and who are sponsored by ISI Pakistan has a record number of terrorist organizations take a look   ,257,1
  You came to india as ISI agent  People like you coming here to sabotage Hindu Muslim unity of india  You are not welcome here to do ISI terrorist jobs ,156,1
Absolutely fake news by  the drive is to remove unauthorised colony  BTW we dont need to learn tolerance from Children of  this is all propaganda conducted by  of  through their terrorists called  who are active in  Stop ,221,0
 Terrorist will remain in jail isi ka fayeda he warna ye baloch dehshatagard army join kar k ata fc k samne to kutte ki mot marta ache he jail me rahe or deshatgardi se bache,174,0
 RAW still holds the world record fastest in creating a new Nation   RAW  created in 1968  Bangladesh created in  1971   Took just 3 years   Siachen by 1987 full capture  19 years   ISI  Formed  1947  except training terrorists there is zero Acheivement,259,0
    Mukti vahini terrorismare you serious They were freedom fighters not terrorists like you guys Btw if you think RAW has done all this to you then youre accepting the fact that RAW has upper hand on worlds no 1 intelligence agency ISI,244,0
 patronage to  continues unabated A fact check on LashkareTaiba                        ,90,1
 I had been their  The main provlem lies is  The Isi agents and Maulana   Who radicalise teens secretly   They even tell them routes to go to terrorist camos in Pok   After things like this follows,197,1
  Isi is the biggest terrorist maybe start there,49,1
 Isi srap se unless wahan karodon terrorist bante hen our marte hen Har paap ka ek ant hota hi he,97,0
America Beware of all Pakistani people they are radical terrorists  Watch Breaking ISI agents caught in Washington posing as US Homeland Security agents All details on YouTube  ,182,1
 Until India make some more surgical strike in POK to permanently destroy the ISI amp Pakistan sponsered terrorist schools amp using any method may be any remote controlled method to kill the main brains of JaishE Mohommad etc Pakistan will continue this,261,1
 Selective condemnation shows your hypocrisy No Afghan is spared by ISIs mercenaries the Taliban Pakistani terrorist sponsoring state killed 20 children in  confirmed by UNICEF same week but you only condemn selectively Shame on you,237,1
  Your paid terrorist dispatched to hell Long Live Pakistan  ,61,0
 PAKISTAN IS FOR THE ARMY BY THE ARMY AND OF THE ARMY ON OTHER HAND PAKISTAN IS FOR THE ISI BY THE ISI AND OF THE ISIS ON OTHER HAND PAKISTAN IS FOR THE TERRORIST BY THE TERRORIST OF THE TERRORIST,198,1
  This is not at all surprising from her She has a lot of backing from CAIR who  has known to be infiltrated by ISI    This trip was likely organized by CAIR  CAIR has championed getting Pakistani Al Qaeda terrorist Aafia Siddiqui out of a Texas prison,253,1
amp another soldier injured while causing heavy losses to the terrorists   Security Forces in step with the nation remain determined to thwart attempts at sabotaging peace stability amp progress of  33         ,222,0
established to cut off fleeing terrorists a heavy exchange of fire took place bw  amp  forces  During skirmish a valiant son of soil Major Shahid Basheer embraced martyrdom 23          ,196,0
  Did  pay for this trip if not State department or Pakistani ISI paid or any terrorist organisation,102,1
amp another soldier injured while causing heavy losses to the terrorists   Security Forces in step with the nation remain determined to thwart attempts at sabotaging peace stability amp progress of  33         ,222,0
established to cut off fleeing terrorists a heavy exchange of fire took place bw  amp  forces  During skirmish a valiant son of soil Major Shahid Basheer embraced martyrdom 23          ,196,0
Baloch students r being abducted from educational institutions by Pakistan Intel Agencies ISI MI These r not law enforcement agencies They r Terrorist and abductor agencies,176,1
   TalibanJihadists in Afghanistan are created by CIAMI6 with the help of their terrorist child ISIISIS and ONE of the evil aims behind their creation is to discredit IslamAfghans amp also deprive Pashtoons on  both side of Durand Line from basic rights and keep them in darkness,285,1
 Absolutely correct   voice except terrorists n der sympathiserswho hav enuff glorification by ISI funded producersshd b unrepresentedKMs hav been victims of times tooForces hav faltered but course correctedForces n KMs journey is fascinating subject,258,1
   Your crime is not following land of the law when it clearly mentioned you cant wear hijab in schools dont worry you have backing of ISI and terrorist organisations like Al Qaeda why you need education in first place ,226,1
  Dhruv Sexena Provided intel to ISI of Uri base camp attackis part of  is living free 40 soldiers died in JK and till date no clue frm wer tat much  came from JampK DSP Davinder Singharrested while ferrying 2 HampM terrorists in a vehicle was granted bail  ,265,1
     are the moles of  the worlds biggest recruiter trainer n funded Terrorists org of world Wait for a while till your investigated,135,0
   You are spreading Fake ISI propaganda if your accounts are checked everything will come out The country on behalf of you are speaking is the mother of all terrorists organisations of this world They have wiped out all religious minorities In the name of blasphemy ,273,1
  This type of terrorism will continue as Pak ISI not involving its own Jehadis but of shoot Indian Kashmiri radical Islamic terrorists as its latest tactics to avoid world pressure particularly UN,202,1
   Only ISI and terrorist mindset peoples can give these types of statement without knowing facts or checking facts,116,1
  The most important thing you both should acknowledge is that the terror group member or frankly a terrorist cant represent a country so he is not FM  The other point is both side plus the attacks are all led by ISI so it was just a photo session,252,1
 Getting ISI to india to investigate a terrorist incident ,59,1
   Aby bhootnike tu terrorists ty ISI nu support kr teri investment di lod ni punjab nu,91,1
  Na sirf   na galia de naam la kar balk Nawaz to modi k oath main gaya tha jahan ashraf ghani na ArmyISI ko terrorist kaha Jandal muree kaun layaModi kaisa baghair Visa aya bibi ko lifafa halal bhe to karna hai,214,0
 network and his  supporters have reported this to  and to have my account I had to delete the tweet  should have the ability to stop  organizations to use it for the sake of   ,179,0
   Endians are struck in terrorist activities in Pak  India is silent while China is building large mobile towers next to the disputed border Indias Hindu RightWing regimes bravado is only against countrys poor muslims,224,0
No one knows d fate of the about 100 Nigerians still in the hands of terrorists after the AbujaKaduna train bombing  amp   are despicable people,153,0
Hypocrites will not condemn todays attack in Kunduz amp wont call it genocide either Terrorists enemy is not sparing anyone Taliban IS ISI are all the killing Afghans Our selective attentioncondemnation will not cure anything   ,239,1
Stop the the terrorist sponsoring state of Pakistan for aiding Taliban Daish and other extremist amp terrorists groups in AfghanistanISI is directly involved in the current bloodshed of Hazara TurkmenPashtunTajickBalochShia Sunni Hindus amp other Afghans ,268,1
  This is only going oin some ashole s mind And an educated ass man of a community joining terrorists group like  ISITalibanJEMHijbulAQ and many more than we can understand the ignorant of the community   Still this ignorant is going on thats why whole world is afraid,278,1
 Someone should remind  Her army and the ISI were supporting terrorism the Talibs militia and the criminal group of the terrorist HQN Why Pak drones and jets carried out brutal attacks on Afghan soil in Panjshir and Khost,224,1
ISI amp lashkar e Taliban paid for her travel She is encouraging terrorists n terrorism in the name of game victimhood Right,129,1
 The ISI provided weaponry with American money to both terrorists in India and terrorists in Afghan Play stupid games win stupid prizes its already coming to your soil These actions are one of the reasons Indian passport holders are respected and Paki passport holders arent,276,1
Humare liye aise rapist ki life matter nhi kartiShayad isi liye rapist terrorists ki itni himmat ho jaati hai k wo desh aur desh k logo ko nuksaan pahuchane ki kosis karte haiPata law hai unhe protect karne k liye    ,220,0
Dont fall for fake Pashtun Identities like her Most NRF terrorists are claiming to be Afghans and Pashtuns but all they do is promote terrorists like NRF  The loyal slaves of ISI CIA France and Iran   ,208,1
 You must be the daughter of ISIS leader aka Saleh Your Terrorist group NRF will take their dirty games to grave with them We want stable Afghanistan We dont want terrorist groups such as NRF thieves Dancing Boys and the loyal Slaves of ISI CIA Iran and France,269,1
  They didnt hand out Al Qaida they wont hand out TTP ask your ISI military amp politicians why they supported a jihadi terrorist group for decades in Afghanistan and what did they except would happen if they are once in power,232,1
    Indian kashmiri live here with pride dont promote fake propaganda and dont indulge in it Terrorist dont come from sky some are ill minded youths of kashmir and ill treated by pakistani ISI  To these ppl army wouldnt do its operationit would do and kill each  ,276,1
 From which terrorist organisationisis or isi,48,0
 Or jo youth laga hai terrorists bnne mekyu sirf terrorists isi dharam se nikalte hamain bhi pahle bhot hindu muslim bhai bhain allbut now its time to change the mentalityshuru se kabza krna sikha ha inhoneinhone india aakr mandir todde hindu ne kuchh nhi kiya,274,0
  They mingle with all terrorist groups amp try to fight against each other If some section of ISIS target Pak but another section tacking help from pak against Taliban ISI expert in this,192,1
 Those who play with fire will get burntTerrorists know no mastersread how ISI trained fidayeen turn on the very Pakistani state that nurtures them in Operation alNagrib a riveting spy thriller Order your copy from  ,224,1
